出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","8021","尖點","其他電子業","473067","413306","312539","14.4592626286577","51.36254995376577","1339564","887368","50.95924126179894","本月增減百分比或本年增減百分比達50%以上：主要係市場需求增加所致。"
"115/05/01","115/3","8028","昇陽半導體","半導體業","474992","408257","378279","16.34632106736688","25.56657916511358","1303393","1082444","20.412049029788147","-"
"115/05/01","115/3","8033","雷虎","其他","120498","96506","114457","24.860630427123702","5.277964650480093","375301","335318","11.923905069217877","-"
"115/05/01","115/3","8039","台虹","電子零組件業","901381","637849","816003","41.31573460176311","10.462951729344132","2415476","2226994","8.463516291467332","自結數尚未經會計師簽證，特此說明。"
"115/05/01","115/3","8045","達運光電","通信網路業","173782","119217","134850","45.76947918501556","28.870596959584724","454814","310860","46.30830598983465","-"
"115/05/01","115/3","8046","南電","電子零組件業","4290690","3166126","3086060","35.51861170401936","39.0345618685314","11177241","8458032","32.14942908705004","-"
"115/05/01","115/3","8070","長華*","電子通路業","2046693","1597710","1546471","28.101657998009653","32.34603170702845","5422396","4503871","20.394123188697012","-"
"115/05/01","115/3","8072","陞泰","電子通路業","132988","89134","94982","49.200080777256716","40.013897370028005","358563","266369","34.61138495845988","因受惠終端客戶需求成長，及新增客戶所致。"
"115/05/01","115/3","8081","致新","半導體業","725648","598138","732491","21.31782297730624","-0.9342094305595564","2111258","2157891","-2.1610452057124294","-"
"115/05/01","115/3","8101","華冠","通信網路業","23026","33061","24808","-30.352983878285592","-7.18316672041277","93261","76203","22.384945474587614","-"
"115/05/01","115/3","8103","瀚荃","電子零組件業","332743","214255","264532","55.302326666822246","25.785538233559645","910083","738227","23.27956035203264","係本公司自結合併營收"
"115/05/01","115/3","8104","錸寶","光電業","243748","93335","385230","161.1539079659292","-36.72663084391143","474435","777793","-39.00240809572727","-"
"115/05/01","115/3","8105","凌巨","光電業","735453","616799","701949","19.237061019878436","4.772996328793117","2127313","2047478","3.89918719517377","-"
"115/05/01","115/3","8110","華東","半導體業","658634","628531","590415","4.789421683258264","11.554415114792137","1969998","1793052","9.868425455591918","-"
"115/05/01","115/3","8112","至上","電子通路業","53315182","31218239","18276897","70.78215718702134","191.7080618225293","110164542","46317437","137.84680054727554","營收大幅成長，主要係記憶體等零組件價格持續上漲，伺服器及手機客戶拉貨動能強勁所致。"
"115/05/01","115/3","8114","振樺電","電腦及週邊設備業","1298547","1191144","2634495","9.016793939271826","-50.70983243467913","3538764","5918982","-40.21330019249932","本月營收衰退50.71%主係EmbeddedFoundry去年需求強勁致比較基期墊高所致。"
"115/05/01","115/3","8131","福懋科","半導體業","1032398","881151","771868","17.16470843249341","33.75318059564589","2944616","2230203","32.03354134130391","-"
"115/05/01","115/3","8150","南茂","半導體業","2501576","2143616","2031628","16.69888636770765","23.131596926208932","6935628","5532332","25.365361297911985","-"
"115/05/01","115/3","8162","微矽電子-創","半導體業","110970","78969","108476","40.523496561942025","2.299126073970279","283364","297878","-4.872464566030389","-"
"115/05/01","115/3","8163","達方","電腦及週邊設備業","2380444","1790524","1969798","32.946779825347214","20.847112241965927","6023620","5483342","9.853078651669","-"
"115/05/01","115/3","8201","無敵","其他電子業","44072","21304","42871","106.87194892977844","2.801427538429241","121001","114643","5.54591209232138","-"
"115/05/01","115/3","8210","勤誠","電腦及週邊設備業","2506644","1950400","1732027","28.519483182936835","44.7231480802551","7107292","4153771","71.10456979934618","終端客戶所需產品大量出貨"
"115/05/01","115/3","8213","志超","電子零組件業","1596734","1274098","1647517","25.32269888187565","-3.082396114880757","4846214","4505153","7.570464310535069","-"
